Both Fits,Water + Fits,All 4,true_label
0.9020208,0.9619074,0.8405589,0.0
0.9027354,0.96227944,0.84187603,0.0
0.90430707,0.96325237,0.8430044,0.0
0.9039779,0.9628369,0.84253913,0.0
0.9041832,0.963184,0.8436273,1.0
0.90332365,0.9625432,0.8420304,0.0
0.9033371,0.9625734,0.8423498,0.0
0.90256214,0.96225387,0.84117186,0.0
0.9020113,0.961738,0.8406496,0.0
0.9024723,0.96231335,0.8412677,0.0
0.90240395,0.96203506,0.84143436,0.0
0.90366346,0.9629691,0.84256107,1.0
0.9027573,0.96201545,0.84121764,0.0
0.90480804,0.9633711,0.8428992,1.0
0.90430707,0.9631258,0.8429426,0.0
0.9018097,0.9618265,0.84066075,0.0
0.90246296,0.96219575,0.84121275,0.0
0.90444267,0.9638227,0.84444237,1.0
0.90421057,0.9633341,0.8433259,1.0
0.9025072,0.96214736,0.8412588,0.0
0.9042309,0.96303666,0.8426296,1.0
0.90446174,0.9636137,0.8442849,1.0
0.904233,0.9632686,0.8429841,0.0
0.9018173,0.9614755,0.8403654,0.0
0.9044334,0.9635064,0.8431926,1.0
0.9024571,0.962002,0.84154236,0.0
0.90443754,0.9632344,0.8433832,1.0
0.9019696,0.9616453,0.8410141,0.0
0.9019758,0.96184504,0.84057885,0.0
0.9026453,0.962155,0.8411957,0.0
0.9032589,0.9626385,0.84184325,0.0
0.90460396,0.96339417,0.8432452,1.0
0.9033138,0.96270645,0.8423365,0.0
0.90165854,0.9615669,0.84055054,0.0
0.90152967,0.9616812,0.8405134,0.0
0.9025197,0.96215695,0.8411907,0.0
0.9023458,0.96229374,0.8414277,1.0
0.9045555,0.9633714,0.84341353,1.0
0.9017208,0.9617171,0.8405366,0.0
0.9033529,0.9625312,0.8418716,0.0
0.9030652,0.9624747,0.8420461,0.0
0.9040731,0.96294385,0.8426773,0.0
0.90210116,0.9620031,0.841088,0.0
0.90158635,0.9616833,0.8405428,0.0
0.90192354,0.96179163,0.8407353,0.0
0.9022955,0.96213514,0.84118813,0.0
0.9023878,0.9619899,0.8408395,0.0
0.9023032,0.9620323,0.84088355,0.0
0.90435827,0.9631632,0.8429421,1.0
0.9038351,0.9628417,0.8422457,0.0
0.90213263,0.96213853,0.84119,0.0
0.9047817,0.96369255,0.8435124,1.0
0.9040004,0.96257794,0.8431834,1.0
0.90191317,0.9618741,0.8405138,0.0
0.9023756,0.96232593,0.8408206,0.0
0.90139925,0.96159065,0.84016323,0.0
0.90156984,0.96158826,0.8408288,0.0
0.9018369,0.96175164,0.84069884,0.0
0.9033626,0.96263504,0.84232676,0.0
0.90241575,0.96204126,0.84131896,0.0
0.90364474,0.9627582,0.8425363,0.0
0.90395623,0.9629124,0.84263337,1.0
0.90354586,0.96279603,0.8425792,0.0
0.90264064,0.96230096,0.84133327,0.0
0.903545,0.962519,0.8425706,0.0
0.9026351,0.9622591,0.8414904,0.0
0.9040364,0.9630505,0.842902,1.0
0.90308064,0.96241647,0.84179604,0.0
0.9045331,0.963394,0.84338266,1.0
0.9040632,0.96296155,0.842878,0.0
0.9020441,0.9620061,0.84114534,0.0
0.90400046,0.96284616,0.84257746,0.0
0.904724,0.96344805,0.84323865,1.0
0.90323657,0.9624671,0.8418172,0.0
0.90333384,0.96265423,0.84233534,0.0
0.90239364,0.9621562,0.84127176,0.0
0.90409535,0.9628522,0.84286976,1.0
0.90321004,0.96269715,0.84246063,0.0
0.9043872,0.96325475,0.84298337,1.0
0.9028801,0.962516,0.84211284,0.0
0.90204775,0.96201676,0.8406938,0.0
0.9025122,0.9619745,0.8411337,0.0
0.9029905,0.9623896,0.84154904,0.0
0.9041855,0.9629162,0.8427211,1.0
0.9029983,0.96278304,0.8425131,1.0
0.90261173,0.9620716,0.84115744,0.0
0.9043641,0.9632395,0.84285706,1.0
0.90210265,0.96197,0.8410904,0.0
0.9036112,0.9628962,0.84218264,0.0
0.9018787,0.9618518,0.84059775,0.0
0.9034853,0.96274555,0.8424533,0.0
0.90372336,0.9628248,0.8423206,0.0
0.9043249,0.9633713,0.84366083,1.0
0.9044431,0.9636728,0.8440417,1.0
0.9021621,0.9619466,0.84095657,0.0
0.9041665,0.963097,0.84274304,0.0
0.9042918,0.9631626,0.84282273,0.0
0.90186155,0.96168673,0.84058887,0.0
0.9029339,0.9625575,0.8421299,0.0
0.9030762,0.9625021,0.84150743,0.0
0.90368825,0.9630372,0.84256554,0.0
0.9035288,0.96260357,0.8422314,0.0
0.90386915,0.96288574,0.842641,0.0
0.9043021,0.9630887,0.8428543,1.0
0.90157765,0.9617754,0.8404549,0.0
0.9017848,0.9616264,0.8407241,0.0
0.90239686,0.96204776,0.84086305,0.0
0.902077,0.9618758,0.84070903,0.0
0.902864,0.9623636,0.8416112,0.0
0.9025914,0.96216905,0.8412863,0.0
0.902932,0.9623661,0.841272,0.0
0.90291655,0.96239203,0.8419072,0.0
0.90413123,0.96294135,0.84279346,0.0
0.90217894,0.96188164,0.8406922,0.0
0.9044592,0.96329707,0.84288377,1.0
0.9029835,0.962628,0.8418458,0.0
0.90297544,0.96225846,0.8416707,0.0
0.9027494,0.9623082,0.8409831,0.0
0.90443736,0.96299154,0.84309614,1.0
0.9022583,0.9619652,0.8408634,0.0
0.90233505,0.9619417,0.8410781,0.0
0.9043315,0.96320295,0.8429019,1.0
0.90436566,0.96313775,0.84297353,1.0
0.90225446,0.96223795,0.8415387,0.0
0.9045575,0.9633457,0.8431841,1.0
0.90450394,0.96354884,0.8432959,1.0
0.90314245,0.96258146,0.8422058,0.0
0.90186274,0.96180975,0.8408286,0.0
0.9015586,0.96154976,0.84030324,0.0
0.9019162,0.9619691,0.8405014,0.0
0.9019035,0.9619571,0.8408111,0.0
0.9048486,0.9640498,0.8449667,1.0
0.90389854,0.96296805,0.84254134,0.0
0.9044281,0.962904,0.8426201,1.0
0.9023426,0.96201956,0.8409754,0.0
0.90384275,0.9628809,0.8425525,0.0
0.90189296,0.96193504,0.84105885,0.0
0.9028104,0.9625122,0.841704,0.0
0.90206254,0.9618899,0.84067047,0.0
0.9045024,0.9633414,0.84299487,1.0
0.9046189,0.96319216,0.8430401,1.0
0.9044647,0.96330583,0.8433262,1.0
0.9040205,0.96303254,0.84286946,0.0
0.9031639,0.9626268,0.84285605,1.0
0.9026636,0.96215993,0.841344,0.0
0.9037002,0.9627544,0.8421798,0.0
0.90390396,0.9627563,0.8424074,0.0
0.90254575,0.9621808,0.8412921,0.0
0.9025615,0.9623982,0.8412512,0.0
0.901701,0.9616849,0.84069663,0.0
0.90388745,0.96309185,0.8430068,1.0
0.90459585,0.963206,0.84335196,1.0
